_id,id,asset_id,location,alternative_name,type,location_details,url,address,geometry
27,348,78262,Sorauren Avenue Park,Sorauren Avenue Park Outdoor Oven Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located south of the outdoor oven.,https://www.toronto.ca/data/parks/prd/facilities/complex/348/index.html,289 Sorauren Ave  ,"c(-79.4432175813896, 43.6481122042163)"
28,857,80208,Ourland Park,Ourland Park Outdoor Pool Bottle Filling Station,Bottle Filling Station,Located at the outdoor pool.,https://www.toronto.ca/data/parks/prd/facilities/complex/857/index.html,18 Ourland Ave  ,"c(-79.5086016557231, 43.616448413574)"
29,373,80067,Glenn Gould Park,Glenn Gould Park Bottle Filling Station,Bottle Filling Station,Located on the pathway near the corner of St. Clair Avenue West and Avenue Road.,https://www.toronto.ca/data/parks/prd/facilities/complex/373/index.html,480 Avenue Rd  ,"c(-79.4019058668715, 43.6867070428127)"
30,836,75146,Walter Saunders Memorial Park,Walter Saunders Memorial Park Splash Pad Bottle Filling Station,Bottle Filling Station,Located southwest of the splash pad along the pathway. ,https://www.toronto.ca/data/parks/prd/facilities/complex/836/index.html,440 Hopewell Ave  ,"c(-79.4464257820624, 43.6998864104157)"
31,22,75043,Rowntree Mills Park,Rowntree Mills Bottle Filling Station,Bottle Filling Station,Located in the fieldhouse/washroom building.,https://www.toronto.ca/data/parks/prd/facilities/complex/22/index.html,155 Rowntree Mill Rd  ,"c(-79.5779681514099, 43.7521542512196)"
32,259,75027,Wadsworth Park,Wadsworth Park Playground Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located south of the playground.,https://www.toronto.ca/data/parks/prd/facilities/complex/259/index.html,120 Connolly St  ,"c(-79.4571682545679, 43.6721515143003)"
33,1508,74866,Humberline Park,Humberline Park Bottle Filling Station,Bottle Filling Station,Located on the outside of the washroom building next to the playground.,https://www.toronto.ca/data/parks/prd/facilities/complex/1508/index.html,32 Humberline Dr  ,"c(-79.6157560219455, 43.731544321655)"
34,155,77814,Jimmie Simpson Park,Jimmie Simpson Park Bottle Filling Station,Bottle Filling Station,Located at the corner of Queen Street East and Booth Avenue.,https://www.toronto.ca/data/parks/prd/facilities/complex/155/index.html,870 Queen St  E ,"c(-79.3437244177319, 43.6603572810684)"
35,148,78114,Sackville Playground,Sackville Playground Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located southeast of the playground along the pathway.,https://www.toronto.ca/data/parks/prd/facilities/complex/148/index.html,420 King St  E ,"c(-79.3604690371936, 43.654550561337)"
36,2723,79139,Spadina Park,Spadina Park Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located on the south end of the park before the stairs coming off Davenport Road entrance. ,https://www.toronto.ca/data/parks/prd/facilities/complex/2723/index.html,486 Davenport Rd  ,"c(-79.4082838755871, 43.6779094366766)"
37,2619,102006,Stadium Road Park,Stadium Road Park North Drinking Water Station,"Bottle Filling Station, Drinking Fountain, Dog Fountain",Located  on the north end of the park along the pathway on the east side close to Stadium Road.,https://www.toronto.ca/data/parks/prd/facilities/complex/2619/index.html,10 Stadium Rd  ,"c(-79.4006342527504, 43.63441848745)"
38,934,102007,Trace Manes Park,Trace Manes Park Playground Bottle Filling Station,Bottle Filling Station,Located along the pathway southeast of the playground.,https://www.toronto.ca/data/parks/prd/facilities/complex/934/index.html,110 Rumsey Rd  ,"c(-79.3672283101139, 43.7061284596332)"
39,425,102008,Leaside Park,Leaside Park Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located outside on the west side of the washroom building.,https://www.toronto.ca/data/parks/prd/facilities/complex/425/index.html,5 Leaside Park Dr  ,"c(-79.3501212874834, 43.7024093814224)"
40,311,102009,Woodbine Beach Park,Woodbine Beach Boardwalk Park Bottle Filling Station,Bottle Filling Station,Located outside the bathing station along the boardwalk.,https://www.toronto.ca/data/parks/prd/facilities/complex/311/index.html,1675 Lake Shore Blvd  E ,"c(-79.3078724591142, 43.6629708205514)"
41,427,102010,Balmy Beach Park,Balmy Beach Park Boardwalk Bottle Filling Station,Bottle Filling Station,Located next to the Boardwalk at the west end of the Silver Birch Boathouse.,https://www.toronto.ca/data/parks/prd/facilities/complex/427/index.html,1 Beech Ave  ,"c(-79.2847908792474, 43.6702283146049)"
42,1,102012,Ashbridges Bay Park,Ashbridges Bay Park Boardwalk Bottle Filling Station,Bottle Filling Station,Located on the boardwalk in front of the washrooms.,https://www.toronto.ca/data/parks/prd/facilities/complex/1/index.html,1561 Lake Shore Blvd  E ,"c(-79.308907241625, 43.6587808920137)"
43,219,102013,Beaches Park,Beaches Park Boathouse Bottle Filling Station,Bottle Filling Station,Located on the pathway between the Martin Goodman Trail and the boathouse.,https://www.toronto.ca/data/parks/prd/facilities/complex/219/index.html,2075 Queen St  E ,"c(-79.296222664356, 43.6669675001015)"
44,2175,102014,Bristol Avenue Parkette West,Bristol Avenue Parkette West Bottle Filling Station,Bottle Filling Station,Located on the pathway east of the playground.,https://www.toronto.ca/data/parks/prd/facilities/complex/2175/index.html,30 Bristol Ave  ,"c(-79.4385773790112, 43.6706430266477)"
45,708,102015,Major Abbas Ali Park,Major Abbas Ali Park Bottle Filling Station,Bottle Filling Station,Located east of the tennis courts along the pathway.,https://www.toronto.ca/data/parks/prd/facilities/complex/708/index.html,180 Mclevin Ave  ,"c(-79.2312453117692, 43.8037309032023)"
46,223,102016,College Park,College Park Bottle Filling Station,Bottle Filling Station,Located next to the Barbara Ann Scott outdoor rink building.,https://www.toronto.ca/data/parks/prd/facilities/complex/223/index.html,420 Yonge St  ,"c(-79.3835926608499, 43.6598385375494)"
47,772,102017,Viewmount Park,Viewmount Park Baseball Diamond Bottle Filling Station,Bottle Filling Station,Located north of the baseball diamond along the pathway.,https://www.toronto.ca/data/parks/prd/facilities/complex/772/index.html,169 Viewmount Ave  ,"c(-79.4377483888692, 43.7071662386506)"
48,1007,102018,Fairhaven Park,Fairhaven Park Drinking Water Station,"Bottle Filling Station, Drinking Fountain, Dog Fountain",Located on the north side of the pathway east of the outdoor exercise equipment.,https://www.toronto.ca/data/parks/prd/facilities/complex/1007/index.html,100 Golfwood Hts  ,"c(-79.5465810690937, 43.7030476856902)"
49,1057,102019,Dentonia Park,Dentonia Park Basketball Court Bottle Filling Station,Bottle Filling Station,Located on the washroom building next to the basketball court.,https://www.toronto.ca/data/parks/prd/facilities/complex/1057/index.html,80 Thyra Ave  ,"c(-79.2927116261305, 43.6941327109857)"
50,220,102021,Coleman Park,Coleman Park Wading Pool Drinking Fountain,Drinking Fountain,Located on the pathway at the north side of the wading pool.,https://www.toronto.ca/data/parks/prd/facilities/complex/220/index.html,19 Coleman Ave  ,"c(-79.300093880365, 43.6893078283521)"
51,60,102022,McCormick Park,McCormick Park Wading Pool Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located southeast of the wading pool.,https://www.toronto.ca/data/parks/prd/facilities/complex/60/index.html,66 Sheridan Ave  ,"c(-79.4337008800867, 43.6467143067875)"
52,834,102023,Charles Caccia Park,Charles Caccia Park Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located on the pathway between the splash pad and the playground.,https://www.toronto.ca/data/parks/prd/facilities/complex/834/index.html,348 Nairn Ave  ,"c(-79.4539800627035, 43.6883699888142)"
53,228,102024,Norwood Park,Norwood Park Wading Pool Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located east of the wading pool.,https://www.toronto.ca/data/parks/prd/facilities/complex/228/index.html,16 Norwood Rd  ,"c(-79.3049909853556, 43.6821194970498)"
54,181,102025,Rennie Park,Rennie Park Wading Pool Bottle Filling Station,Bottle Filling Station,Located west of the wading pool.,https://www.toronto.ca/data/parks/prd/facilities/complex/181/index.html,1 Rennie Terr  ,"c(-79.474067675139, 43.6450779000829)"
55,181,102026,Rennie Park,Rennie Park Tennis Court Bottle Filling Station,Bottle Filling Station,Located southwest of the tennis courts along the pathway.,https://www.toronto.ca/data/parks/prd/facilities/complex/181/index.html,1 Rennie Terr  ,"c(-79.4737523909128, 43.6444901456748)"
56,935,102027,Cloverdale Park,Cloverdale Park Fitness Area Bottle Filling Station,Bottle Filling Station,Located on the pathway at the south end of the outdoor fitness equipment area. ,https://www.toronto.ca/data/parks/prd/facilities/complex/935/index.html,85 Shaver Ave  S ,"c(-79.5450401573127, 43.6336024978722)"
57,1097,102028,Salem Parkette,Salem Parkette Fitness Area Bottle Filling Station,Bottle Filling Station,Located southeast of the fitness equipment area along the pathway.,https://www.toronto.ca/data/parks/prd/facilities/complex/1097/index.html,9 Salem Ave  ,"c(-79.4307579760202, 43.6614325322015)"
58,2020,102029,Six Points Park,Six Points Park Playground Bottle Filling Station,Bottle Filling Station,Located southeast of the playground along the pathway.,https://www.toronto.ca/data/parks/prd/facilities/complex/2020/index.html,10 Viking Lane  ,"c(-79.5357012540148, 43.6396247077173)"
59,3693,102030,Stanley Greene Park,Stanley Greene Park Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located outside the washroom building east of the splash pad.,https://www.toronto.ca/data/parks/prd/facilities/complex/3693/index.html,55 Stanley Greene Blvd.   ,"c(-79.4775065558573, 43.7341685381514)"
60,125,102031,Lithuania Park,Lithuania Park Splash Pad Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located south of the splash pad.,https://www.toronto.ca/data/parks/prd/facilities/complex/125/index.html,155 Oakmount Rd  ,"c(-79.4625674538028, 43.6589358851768)"
61,406,102032,Guild Park and Gardens,Guild Park and Gardens Bottle Filling Station,Bottle Filling Station,Located on the grassy area south of the festival stage.,https://www.toronto.ca/data/parks/prd/facilities/complex/406/index.html,201 Guildwood Pkwy  ,"c(-79.1921945183492, 43.7463400605262)"
62,204,2410,Clarence Square Park,Clarence Square Park Dog Off-Leash Area South Drinking Water Station,"Bottle Filling Station, Dog Fountain",Located near the south fence half way between the East and West entrance gates to the dog off-leash area.,https://www.toronto.ca/data/parks/prd/facilities/complex/204/index.html,25 Clarence Sq  ,"c(-79.3935021267033, 43.6439053783239)"
63,311,2154,Woodbine Beach Park,Woodbine Beach Park Bathing Station Bottle Filling Station,Bottle Filling Station,Located infront of the bathing station. ,https://www.toronto.ca/data/parks/prd/facilities/complex/311/index.html,1675 Lake Shore Blvd  E ,"c(-79.3079868960311, 43.6628022727954)"
64,71,41110,Sir Casimir Gzowski Park,Sir Casimir Gzowski Park Fieldhouse Bottle Filling Station,Bottle Filling Station,Located on the west side of the fieldhouse/washroom building.,https://www.toronto.ca/data/parks/prd/facilities/complex/71/index.html,2001 Lake Shore Blvd  W ,"c(-79.4657201032082, 43.6351724313907)"
65,484,41102,Amesbury Park,Amesbury Park Baseball Diamond Bottle Filling Station,Bottle Filling Station,Located on the pathway east of the central baseball diamond.,https://www.toronto.ca/data/parks/prd/facilities/complex/484/index.html,151 Culford Rd  ,"c(-79.4807741941734, 43.7069469002031)"
66,2818,45963,Sunnyside Bike Park,Sunnyside Bike Park Bottle Filling Station,Bottle Filling Station,Located at the west end of the park by the drop-off area off of Ellis Avenue.,https://www.toronto.ca/data/parks/prd/facilities/complex/2818/index.html,3 Ellis Ave  ,"c(-79.4651815501724, 43.6368604271895)"
67,550,41222,Birchmount Park,Birchmount Park Stadium Bottle Filling Station,Bottle Filling Station,Located near the south end of the stadium.,https://www.toronto.ca/data/parks/prd/facilities/complex/550/index.html,95 Birchmount Rd  ,"c(-79.2612180467407, 43.6953740830156)"
68,2016,45482,Maryland Park,Maryland Park Bottle Filling Station,Bottle Filling Station,Located outside the washroom building.,https://www.toronto.ca/data/parks/prd/facilities/complex/2016/index.html,19 Maryland Blvd  ,"c(-79.2950406218545, 43.6916386243212)"
69,204,57602,Clarence Square Park,Clarence Square Park Dog Off-Leash Area North Dog Fountain,Dog Fountain,Located near the north entrance gate of the dog off-leash area. ,https://www.toronto.ca/data/parks/prd/facilities/complex/204/index.html,25 Clarence Sq  ,"c(-79.3935546848481, 43.6440373963935)"
70,353,41111,Stan Wadlow Park,Kiwanis Outdoor Pool Bottle Filling Station,Bottle Filling Station,Located in the outdoor pool building. ,https://www.toronto.ca/data/parks/prd/facilities/complex/353/index.html,375 Cedarvale Ave,"c(-79.3161449220367, 43.6985948461861)"
71,543,41113,Thomson Memorial Park,Thomson Memorial Park North Washroom Bottle Filling Station,Bottle Filling Station,Located outside the north washroom building of the park. ,https://www.toronto.ca/data/parks/prd/facilities/complex/543/index.html,1005 Brimley Rd  ,"c(-79.2550713844408, 43.7590516094245)"
72,698,41109,L'Amoreaux Sports Complex,L'Amoreaux Sports Complex Bottle Filling Station,Bottle Filling Station,Located on the outside of the washroom building.,https://www.toronto.ca/data/parks/prd/facilities/complex/698/index.html,100 Silver Springs Blvd  ,"c(-79.3043592501736, 43.8032300760222)"
73,67,41107,Jonathan Ashbridge Park,Jonathan Ashbridge Park Fieldhouse Bottle Filling Station,Bottle Filling Station,Located next to the fieldhouse washroom building.,https://www.toronto.ca/data/parks/prd/facilities/complex/67/index.html,1515 Queen St  E ,"c(-79.3197672437598, 43.6646129214473)"
74,2556,102103,Rustic Park,Rustic Park Playground Bottle Filling Station,Bottle Filling Station,Located south of the playground along the pathway.,https://www.toronto.ca/data/parks/prd/facilities/complex/2556/index.html,35 Raven Rd  ,"c(-79.504416537236, 43.7131804875432)"
75,2519,102105,Asquith Green Park,Asquith Green Park Bottle Filling Station,Bottle Filling Station,Located on the pathway at the east entrance to the park.,https://www.toronto.ca/data/parks/prd/facilities/complex/2519/index.html,19 Park Rd  ,"c(-79.3841718184626, 43.6719250074994)"
76,688,102106,Maple Leaf Park,Maple Leaf Park Basketball Court Bottle Filling Station,Bottle Filling Station,Located north of the basketball courts along the pathway.,https://www.toronto.ca/data/parks/prd/facilities/complex/688/index.html,320 Culford Rd  ,"c(-79.493077649639, 43.716269601681)"
77,2179,102107,The Doctors' Parkette,The Doctors' Parkette Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located on the west side of the park along Brunswick Avenue.,https://www.toronto.ca/data/parks/prd/facilities/complex/2179/index.html,15 Brunswick Ave  ,"c(-79.4040463599085, 43.6574552330849)"
78,158,102108,Sonya's Park,Sonya's Park Bottle Filling Station,Bottle Filling Station,Located along the pathway at the north end of the park.,https://www.toronto.ca/data/parks/prd/facilities/complex/158/index.html,63 Oxford St  ,"c(-79.4020517200731, 43.6560488156218)"
79,2339,102109,Glasgow Parkette,Glasgow Parkette Bottle Filling Station,Bottle Filling Station,Located at the north end of the park.,https://www.toronto.ca/data/parks/prd/facilities/complex/2339/index.html,11 Glasgow St  ,"c(-79.3984821628996, 43.6568371012617)"
80,459,102110,Cherry Beach Sports Fields,Cherry Beach Sports Fields Washroom Bottle Filling Station,Bottle Filling Station,Located inside the front entrance to the washroom building.,https://www.toronto.ca/data/parks/prd/facilities/complex/459/index.html,275 Unwin Ave  ,"c(-79.3415859772642, 43.6412976338098)"
81,459,102111,Cherry Beach Sports Fields,Cherry Beach Sports Fields East Field Bottle Filling Station,Bottle Filling Station,Located on the outside of the washroom building next to the east sports field.,https://www.toronto.ca/data/parks/prd/facilities/complex/459/index.html,275 Unwin Ave  ,"c(-79.3417198013687, 43.641274514614)"
82,250,102113,Vermont Square Park,Vermont Square Park Wading Pool Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located west of the wading pool.,https://www.toronto.ca/data/parks/prd/facilities/complex/250/index.html,819 Palmerston Ave  ,"c(-79.4158986294454, 43.6708739497648)"
83,295,102114,Bickford Park,Bickford Park North Bottle Filling Station,Bottle Filling Station,Located on the pathway at the north end of the park.,https://www.toronto.ca/data/parks/prd/facilities/complex/295/index.html,400 Grace St  ,"c(-79.4192708143008, 43.6618883243317)"
84,295,102115,Bickford Park,Bickford Park Dog Off-Leash Area Bottle Filling Station,Bottle Filling Station,Located at the east gate to the dog off-leash area. ,https://www.toronto.ca/data/parks/prd/facilities/complex/295/index.html,400 Grace St  ,"c(-79.4179983018392, 43.6602823769829)"
85,715,102117,North Keelesdale Park,North Keelesdale Park Bottle Filling Station,Bottle Filling Station,Located north of the washroom building between the parking lot and the baseball diamond.,https://www.toronto.ca/data/parks/prd/facilities/complex/715/index.html,415 Black Creek Dr  ,"c(-79.4826216440376, 43.6900121739827)"
86,341,102118,Linus Park,Linus Park Soccer Field Bottle Filling Station,Bottle Filling Station,Located west of the soccer field along the pathway.,https://www.toronto.ca/data/parks/prd/facilities/complex/341/index.html,125 Seneca Hill Dr  ,"c(-79.3584033815972, 43.7883944239161)"
87,937,13289,Oriole Park - North York,Oriole Park North York Baseball Diamond Drinking Fountain,Drinking Fountain,Located north of the baseball diamond.,https://www.toronto.ca/data/parks/prd/facilities/complex/937/index.html,2955 Don Mills Rd  ,"c(-79.3504920685181, 43.7812124557035)"
88,763,102119,Sweeney Park,Sweeney Park Tennis Court Bottle Filling Station,Bottle Filling Station,Located south of the tennis courts along the pathway.,https://www.toronto.ca/data/parks/prd/facilities/complex/763/index.html,110 Sweeney Dr,"c(-79.3158460461913, 43.7356504337942)"
89,2092,102120,Futura Parkette,Futura Parkette Bottle Filling Station,Bottle Filling Station,Located on the pathway west of the playground.,https://www.toronto.ca/data/parks/prd/facilities/complex/2092/index.html,175 Arleta Ave  ,"c(-79.5076912369408, 43.7480283421126)"
90,641,102121,Godstone Park,Godstone Park Bottle Filling Station,Bottle Filling Station,Located on the pathway near Godstone Road.,https://www.toronto.ca/data/parks/prd/facilities/complex/641/index.html,45 Godstone Rd  ,"c(-79.3476202941945, 43.7830731196573)"
91,467,102122,Coronation Park - Toronto,Coronation Park Toronto East Baseball Diamond Bottle Filling Station,Bottle Filling Station,Located at the north end of the large park building between the central and east baseball diamonds.,https://www.toronto.ca/data/parks/prd/facilities/complex/467/index.html,711 Lake Shore Blvd  W ,"c(-79.4048629030909, 43.6345616251365)"
92,2619,102123,Stadium Road Park,Stadium Road Park South Drinking Water Station,"Bottle Filling Station, Drinking Fountain","Located on the south end of the park, northeast of the outdoor fitness equipment along the pathway.",https://www.toronto.ca/data/parks/prd/facilities/complex/2619/index.html,10 Stadium Rd  ,"c(-79.3995185331499, 43.6331922774473)"
93,493,102124,Cliffwood Park,Cliffwood Park Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located on the pathway at the entrance to the tennis courts.,https://www.toronto.ca/data/parks/prd/facilities/complex/493/index.html,280 Cliffwood Rd  ,"c(-79.3547113067681, 43.8079988788953)"
94,194,102125,Joseph Sheard Parkette,Joseph Sheard Parkette Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located along the west side of the pathway at the north end of the park.,https://www.toronto.ca/data/parks/prd/facilities/complex/194/index.html,11 Granby St  ,"c(-79.3819203001536, 43.6605657792948)"
95,202,102126,Ashtonbee Reservoir Park,Ashtonbee Reservoir Park Bottle Filling Station,Bottle Filling Station,Located on the east side of the washroom building near Ashtonbee Road.,https://www.toronto.ca/data/parks/prd/facilities/complex/202/index.html,21 Ashtonbee Rd  ,"c(-79.2944186870878, 43.7296655294458)"
96,335,102127,Budapest Park,Budapest Park East Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located at the east end of the park on the Martin Goodman Trail opposite from the pedestrian bridge over the highway. ,https://www.toronto.ca/data/parks/prd/facilities/complex/335/index.html,1575 Lake Shore Blvd  W ,"c(-79.4476261473233, 43.6368801606251)"
97,277,102128,Berczy Park,Berczy Park Bottle Filling Station,Bottle Filling Station,Located on the pathway near the corner of Scott Street and Front Street East.,https://www.toronto.ca/data/parks/prd/facilities/complex/277/index.html,35 Wellington St  E ,"c(-79.3755522888512, 43.6477749718222)"
98,408,102129,St. James Park,St. James Park Playground Bottle Filling Station,Bottle Filling Station,Located north of the playground along the pathway.,https://www.toronto.ca/data/parks/prd/facilities/complex/408/index.html,120 King St  E ,"c(-79.3725026074668, 43.6511840694314)"
99,300,102130,Winchester Park,Winchester Park Wading Pool Bottle Filling Station,Bottle Filling Station,Located northeast of the wading pool.,https://www.toronto.ca/data/parks/prd/facilities/complex/300/index.html,530 Ontario St  ,"c(-79.3718146877968, 43.6664242556017)"
100,471,102131,Marilyn Bell Park,Marilyn Bell Park South Drinking Water Station,"Bottle Filling Station, Drinking Fountain","Located on the south side of the park, midway along the north side of Aquatic Drive Trail.",https://www.toronto.ca/data/parks/prd/facilities/complex/471/index.html,1095 Lake Shore Blvd  W ,"c(-79.4308348395807, 43.6304441333237)"
101,3715,102132,45 Dalhousie Street Park,45 Dalhousie Street Drinking Water Station,"Bottle Filling Station, Drinking Fountain, Dog Fountain",Located in the northwest corner of the park near to Dalhousie Street.,https://www.toronto.ca/data/parks/prd/facilities/complex/3715/index.html,45 Dalhousie St   ,"c(-79.3755438210559, 43.6545715587647)"
